| Name         | Required | Type    | Default           | Description                                       |
|--------------|----------|---------|-------------------|---------------------------------------------------|
| bind         | false    | string  |                   | The key of a param to bind the search field to.   |
| class        | false    | string  |                   | The class for the search field.                   |
| disabled     | false    | boolean | false             | If the search field is disabled.                  |
| id           | false    | string  | ${name}           | The id of the search field.                       |
| instructions | false    | string  |                   | The instructions for the search field.            |
| label        | false    | string  | ${humanized name} | The label for the search field.                   |
| name         | true     | string  |                   | The name of the search field.                     |
| onblur       | false    | string  |                   | The onblur event for the search field.            |
| onchange     | false    | string  |                   | The onchange event for the search field.          |
| onclick      | false    | string  |                   | The onclick event for the search field.           |
| ondblclick   | false    | string  |                   | The ondblclick event for the search field.        |
| onfocus      | false    | string  |                   | The onfocus event for the search field.           |
| onkeydown    | false    | string  |                   | The onkeydown event for the search field.         |
| onkeypress   | false    | string  |                   | The onkeypress event for the search field.        |
| onkeyup      | false    | string  |                   | The onkeyup event for the search field.           |
| onsubmit     | false    | string  |                   | The onsubmit event for the search field.          |
| placeholder  | false    | string  |                   | The placeholder text for the search field.        |
| readonly     | false    | boolean | false             | If the search field is read only.                 |
| style        | false    | string  |                   | The style for the search field.                   |
| title        | false    | string  | ${label}          | The title for the search field.                   |
| value        | false    | string  |                   | The value of the search field.                    |
| visible      | false    | boolean | true              | If the search field is visible.                   |
| wrapper      | false    | boolean | true              | If the search field should be wrapped in a label. |
