| Name         | Required | Type    | Default           | Description                                   |
|--------------|----------|---------|-------------------|-----------------------------------------------|
| bind         | false    | string  |                   | The key of a param to bind the textarea to.   |
| class        | false    | string  |                   | The class for the textarea.                   |
| cols         | false    | numeric |                   | The number of columns for the textarea.       |
| disabled     | false    | boolean | false             | If the textarea is disabled.                  |
| id           | false    | string  | ${name}           | The id of the textarea.                       |
| instructions | false    | string  |                   | The instructions for the textarea.            |
| label        | false    | string  | ${humanized name} | The label for the textarea.                   |
| name         | true     | string  |                   | The name of the textarea.                     |
| onblur       | false    | string  |                   | The onblur event for the textarea.            |
| onchange     | false    | string  |                   | The onchange event for the textarea.          |
| onclick      | false    | string  |                   | The onclick event for the textarea.           |
| ondblclick   | false    | string  |                   | The ondblclick event for the textarea.        |
| onfocus      | false    | string  |                   | The onfocus event for the textarea.           |
| onkeydown    | false    | string  |                   | The onkeydown event for the textarea.         |
| onkeypress   | false    | string  |                   | The onkeypress event for the textarea.        |
| onkeyup      | false    | string  |                   | The onkeyup event for the textarea.           |
| onsubmit     | false    | string  |                   | The onsubmit event for the textarea.          |
| placeholder  | false    | string  |                   | The placeholder text for the textarea.        |
| readonly     | false    | boolean | false             | If the textarea is read only.                 |
| rows         | false    | numeric |                   | The number of rows for the textarea.          |
| style        | false    | string  |                   | The style for the textarea.                   |
| title        | false    | string  | ${label}          | The title for the textarea.                   |
| value        | false    | string  |                   | The value of the textarea.                    |
| visible      | false    | boolean | true              | If the textarea is visible.                   |
| wrapper      | false    | boolean | true              | If the textarea should be wrapped in a label. |
