| Name         | Required | Type    | Default           | Description                                     |
|--------------|----------|---------|-------------------|-------------------------------------------------|
| class        | false    | string  |                   | The class for the date field.                   |
| disabled     | false    | boolean | false             | If the date field is disabled.                  |
| id           | false    | string  | ${name}           | The id of the date field.                       |
| instructions | false    | string  |                   | The instructions for the date field.            |
| label        | false    | string  | ${humanized name} | The label for the date field.                   |
| name         | true     | string  |                   | The name of the date field.                     |
| onblur       | false    | string  |                   | The onblur event for the date field.            |
| onchange     | false    | string  |                   | The onchange event for the date field.          |
| onclick      | false    | string  |                   | The onclick event for the date field.           |
| ondblclick   | false    | string  |                   | The ondblclick event for the date field.        |
| onfocus      | false    | string  |                   | The onfocus event for the date field.           |
| onkeydown    | false    | string  |                   | The onkeydown event for the date field.         |
| onkeypress   | false    | string  |                   | The onkeypress event for the date field.        |
| onkeyup      | false    | string  |                   | The onkeyup event for the date field.           |
| onsubmit     | false    | string  |                   | The onsubmit event for the date field.          |
| placeholder  | false    | string  |                   | The placeholder text for the date field.        |
| readonly     | false    | boolean | false             | If the date field is read only.                 |
| style        | false    | string  |                   | The style for the date field.                   |
| title        | false    | string  | ${label}          | The title for the date field.                   |
| value        | false    | string  |                   | The value of the date field.                    |
| visible      | false    | boolean | true              | If the date field is visible.                   |
| wrapper      | false    | boolean | true              | If the date field should be wrapped in a label. |
