| Name         | Required | Type    | Default           | Description                                         |
|--------------|----------|---------|-------------------|-----------------------------------------------------|
| class        | false    | string  |                   | The class for the password field.                   |
| disabled     | false    | boolean | false             | If the password field is disabled.                  |
| id           | false    | string  | ${name}           | The id of the password field.                       |
| instructions | false    | string  |                   | The instructions for the password field.            |
| label        | false    | string  | ${humanized name} | The label for the password field.                   |
| name         | true     | string  |                   | The name of the password field.                     |
| onblur       | false    | string  |                   | The onblur event for the password field.            |
| onchange     | false    | string  |                   | The onchange event for the password field.          |
| onclick      | false    | string  |                   | The onclick event for the password field.           |
| ondblclick   | false    | string  |                   | The ondblclick event for the password field.        |
| onfocus      | false    | string  |                   | The onfocus event for the password field.           |
| onkeydown    | false    | string  |                   | The onkeydown event for the password field.         |
| onkeypress   | false    | string  |                   | The onkeypress event for the password field.        |
| onkeyup      | false    | string  |                   | The onkeyup event for the password field.           |
| onsubmit     | false    | string  |                   | The onsubmit event for the password field.          |
| placeholder  | false    | string  |                   | The placeholder text for the password field.        |
| readonly     | false    | boolean | false             | If the password field is read only.                 |
| style        | false    | string  |                   | The style for the password field.                   |
| title        | false    | string  | ${label}          | The title for the password field.                   |
| value        | false    | string  |                   | The value of the password field.                    |
| visible      | false    | boolean | true              | If the password field is visible.                   |
| wrapper      | false    | boolean | true              | If the password field should be wrapped in a label. |
