| Name         | Required | Type    | Default           | Description                                       |
|--------------|----------|---------|-------------------|---------------------------------------------------|
| class        | false    | string  |                   | The class for the range field.                   |
| disabled     | false    | boolean | false             | If the range field is disabled.                  |
| id           | false    | string  | ${name}           | The id of the range field.                       |
| instructions | false    | string  |                   | The instructions for the range field.            |
| label        | false    | string  | ${humanized name} | The label for the range field.                   |
| name         | true     | string  |                   | The name of the range field.                     |
| onblur       | false    | string  |                   | The onblur event for the range field.            |
| onchange     | false    | string  |                   | The onchange event for the range field.          |
| onclick      | false    | string  |                   | The onclick event for the range field.           |
| ondblclick   | false    | string  |                   | The ondblclick event for the range field.        |
| onfocus      | false    | string  |                   | The onfocus event for the range field.           |
| onkeydown    | false    | string  |                   | The onkeydown event for the range field.         |
| onkeypress   | false    | string  |                   | The onkeypress event for the range field.        |
| onkeyup      | false    | string  |                   | The onkeyup event for the range field.           |
| onsubmit     | false    | string  |                   | The onsubmit event for the range field.          |
| placeholder  | false    | string  |                   | The placeholder text for the range field.        |
| readonly     | false    | boolean | false             | If the range field is read only.                 |
| style        | false    | string  |                   | The style for the range field.                   |
| title        | false    | string  | ${label}          | The title for the range field.                   |
| value        | false    | string  |                   | The value of the range field.                    |
| visible      | false    | boolean | true              | If the range field is visible.                   |
| wrapper      | false    | boolean | true              | If the range field should be wrapped in a label. |
