| Name         | Required | Type    | Default           | Description                                 |
|--------------|----------|---------|-------------------|---------------------------------------------|
| class        | false    | string  |                   | The class for the search.                   |
| disabled     | false    | boolean | false             | If the search is disabled.                  |
| id           | false    | string  | ${name}           | The id of the search.                       |
| instructions | false    | string  |                   | The instructions for the search.            |
| label        | false    | string  | ${humanized name} | The label for the search.                   |
| name         | true     | string  |                   | The name of the search.                     |
| onblur       | false    | string  |                   | The onblur event for the search.            |
| onchange     | false    | string  |                   | The onchange event for the search.          |
| onclick      | false    | string  |                   | The onclick event for the search.           |
| ondblclick   | false    | string  |                   | The ondblclick event for the search.        |
| onfocus      | false    | string  |                   | The onfocus event for the search.           |
| onkeydown    | false    | string  |                   | The onkeydown event for the search.         |
| onkeypress   | false    | string  |                   | The onkeypress event for the search.        |
| onkeyup      | false    | string  |                   | The onkeyup event for the search.           |
| onsubmit     | false    | string  |                   | The onsubmit event for the search.          |
| readonly     | false    | boolean | false             | If the search is read only.                 |
| style        | false    | string  |                   | The style for the search.                   |
| title        | false    | string  | ${label}          | The title for the search.                   |
| value        | false    | string  |                   | The value of the search.                    |
| visible      | false    | boolean | true              | If the search is visible.                   |
| wrapper      | false    | boolean | true              | If the search should be wrapped in a label. |
