| Name         | Required | Type    | Default           | Description                               |
|--------------|----------|---------|-------------------|-------------------------------------------|
| class        | false    | string  |                   | The class for the time.                   |
| disabled     | false    | boolean | false             | If the time is disabled.                  |
| id           | false    | string  | ${name}           | The id of the time.                       |
| instructions | false    | string  |                   | The instructions for the time.            |
| label        | false    | string  | ${humanized name} | The label for the time.                   |
| name         | true     | string  |                   | The name of the time.                     |
| onblur       | false    | string  |                   | The onblur event for the time.            |
| onchange     | false    | string  |                   | The onchange event for the time.          |
| onclick      | false    | string  |                   | The onclick event for the time.           |
| ondblclick   | false    | string  |                   | The ondblclick event for the time.        |
| onfocus      | false    | string  |                   | The onfocus event for the time.           |
| onkeydown    | false    | string  |                   | The onkeydown event for the time.         |
| onkeypress   | false    | string  |                   | The onkeypress event for the time.        |
| onkeyup      | false    | string  |                   | The onkeyup event for the time.           |
| onsubmit     | false    | string  |                   | The onsubmit event for the time.          |
| readonly     | false    | boolean | false             | If the time is read only.                 |
| style        | false    | string  |                   | The style for the time.                   |
| title        | false    | string  | ${label}          | The title for the time.                   |
| value        | false    | string  |                   | The value of the time.                    |
| visible      | false    | boolean | true              | If the time is visible.                   |
| wrapper      | false    | boolean | true              | If the time should be wrapped in a label. |
